data_file,adapter_dir,base_model,total,parsed,parse_ratio,acc,precision,recall,f1,auc,tp,fp,tn,fn,label_pos_rate,pred_pos_rate
project2/LLM/homework2upload/llm_data_no_encoder/test_data.jsonl,project2/LLM/homework2upload/llm_data_no_encoder/ecg_llm_lora_finetuned_Qwen__Qwen2.5-7B,Qwen/Qwen2.5-7B,3294,3010,0.9137826350941105,0.879734219269103,0.1015625,0.05,0.06701030927835053,0.5040909090909091,13,115,2635,247,0.08637873754152824,0.0425249169435216







[Progress] 50/3294 | 可解析 44 (88.00%) | acc 0.7955 | precision 0.0000 | recall 0.0000 | f1 0.0000 | auc 0.4861 | pos(y/p) 0.182/0.023 | TP/FP/TN/FN 0/1/35/8
[Progress] 100/3294 | 可解析 90 (90.00%) | acc 0.8333 | precision 0.0000 | recall 0.0000 | f1 0.0000 | auc 0.4747 | pos(y/p) 0.122/0.044 | TP/FP/TN/FN 0/4/75/11
[Progress] 150/3294 | 可解析 137 (91.33%) | acc 0.8394 | precision 0.0000 | recall 0.0000 | f1 0.0000 | auc 0.4752 | pos(y/p) 0.117/0.044 | TP/FP/TN/FN 0/6/115/16
[Progress] 200/3294 | 可解析 181 (90.50%) | acc 0.8508 | precision 0.1250 | recall 0.0476 | f1 0.0690 | auc 0.5019 | pos(y/p) 0.116/0.044 | TP/FP/TN/FN 1/7/153/20
[Progress] 250/3294 | 可解析 224 (89.60%) | acc 0.8616 | precision 0.3077 | recall 0.1538 | f1 0.2051 | auc 0.5542 | pos(y/p) 0.116/0.058 | TP/FP/TN/FN 4/9/189/22
[Progress] 300/3294 | 可解析 271 (90.33%) | acc 0.8745 | precision 0.3750 | recall 0.2000 | f1 0.2609 | auc 0.5793 | pos(y/p) 0.111/0.059 | TP/FP/TN/FN 6/10/231/24
[Progress] 350/3294 | 可解析 317 (90.57%) | acc 0.8801 | precision 0.3684 | recall 0.2121 | f1 0.2692 | auc 0.5849 | pos(y/p) 0.104/0.060 | TP/FP/TN/FN 7/12/272/26
[Progress] 400/3294 | 可解析 362 (90.50%) | acc 0.8923 | precision 0.3684 | recall 0.2059 | f1 0.2642 | auc 0.5846 | pos(y/p) 0.094/0.052 | TP/FP/TN/FN 7/12/316/27
[Progress] 450/3294 | 可解析 408 (90.67%) | acc 0.8922 | precision 0.3333 | recall 0.1892 | f1 0.2414 | auc 0.5757 | pos(y/p) 0.091/0.051 | TP/FP/TN/FN 7/14/357/30
[Progress] 500/3294 | 可解析 454 (90.80%) | acc 0.8833 | precision 0.2917 | recall 0.1628 | f1 0.2090 | auc 0.5607 | pos(y/p) 0.095/0.053 | TP/FP/TN/FN 7/17/394/36
[Progress] 550/3294 | 可解析 500 (90.91%) | acc 0.8820 | precision 0.2800 | recall 0.1458 | f1 0.1918 | auc 0.5530 | pos(y/p) 0.096/0.050 | TP/FP/TN/FN 7/18/434/41
[Progress] 600/3294 | 可解析 547 (91.17%) | acc 0.8848 | precision 0.2692 | recall 0.1373 | f1 0.1818 | auc 0.5495 | pos(y/p) 0.093/0.048 | TP/FP/TN/FN 7/19/477/44
[Progress] 650/3294 | 可解析 591 (90.92%) | acc 0.8849 | precision 0.2593 | recall 0.1273 | f1 0.1707 | auc 0.5450 | pos(y/p) 0.093/0.046 | TP/FP/TN/FN 7/20/516/48
[Progress] 700/3294 | 可解析 638 (91.14%) | acc 0.8840 | precision 0.2759 | recall 0.1311 | f1 0.1778 | auc 0.5474 | pos(y/p) 0.096/0.045 | TP/FP/TN/FN 8/21/556/53
[Progress] 750/3294 | 可解析 684 (91.20%) | acc 0.8830 | precision 0.2500 | recall 0.1250 | f1 0.1667 | auc 0.5431 | pos(y/p) 0.094/0.047 | TP/FP/TN/FN 8/24/596/56
[Progress] 800/3294 | 可解析 733 (91.62%) | acc 0.8759 | precision 0.2222 | recall 0.1127 | f1 0.1495 | auc 0.5352 | pos(y/p) 0.097/0.049 | TP/FP/TN/FN 8/28/634/63
[Progress] 850/3294 | 可解析 779 (91.65%) | acc 0.8780 | precision 0.2222 | recall 0.1067 | f1 0.1441 | auc 0.5334 | pos(y/p) 0.096/0.046 | TP/FP/TN/FN 8/28/676/67
[Progress] 900/3294 | 可解析 825 (91.67%) | acc 0.8800 | precision 0.2222 | recall 0.1013 | f1 0.1391 | auc 0.5319 | pos(y/p) 0.096/0.044 | TP/FP/TN/FN 8/28/718/71
[Progress] 950/3294 | 可解析 870 (91.58%) | acc 0.8816 | precision 0.2222 | recall 0.0964 | f1 0.1345 | auc 0.5304 | pos(y/p) 0.095/0.041 | TP/FP/TN/FN 8/28/759/75
[Progress] 1000/3294 | 可解析 913 (91.30%) | acc 0.8773 | precision 0.2000 | recall 0.0909 | f1 0.1250 | auc 0.5261 | pos(y/p) 0.096/0.044 | TP/FP/TN/FN 8/32/793/80
